Context,Word,Spain,Costa Rica,English
post-vocalic,,,,
,había,aβía,aβía,there was
,hada,áða,áða,fairy
,lago,láɣo,láɣo,lake
post-nasal,,,,
,bomba,bómba,bómba,bomb
,cóndor,cóndor,cóndor,condor
,mango,máŋgo,máŋgo,mango
post-lateral,,,,
,alba,álβa,álba,dawn
,caldo,káldo,káldo,broth
,salgo,sálɣo,sálgo,I leave
post-rhotic,,,,
,arbol,áɾβol,áɾbol,tree
,ardor,áɾðoɾ,áɾdor,ardor
,cargo,káɾɣo,kárgo,I carry
post-glide,,,,
,vaivén,bajβén,bajbén,back and forth
,deuda,déwða,déwda,debt
,caigo,kájɣgo,kájgo,I fall
post-obstruent,,,,
,esbelto,ezβélto,ezbélto,slender
,desde,dézðe,dézde,since
,rasgo,rázɣo,rázgo,trait
